rank_window,heat_score,heat_rank_score,source,kind,agency,title,published_date,url,document_url,format,rationale,heat_score_today,coverage_mentions_today,exact_url_mentions_today,filename_mentions_today,canonical_mentions_today,social_exact_mentions_today,crawl_hits_today,providers_checked_today,errors_today,heat_score_7d,coverage_mentions_7d,exact_url_mentions_7d,filename_mentions_7d,canonical_mentions_7d,social_exact_mentions_7d,crawl_hits_7d,providers_checked_7d,errors_7d,heat_score_30d,coverage_mentions_30d,exact_url_mentions_30d,filename_mentions_30d,canonical_mentions_30d,social_exact_mentions_30d,crawl_hits_30d,providers_checked_30d,errors_30d
7d,13.0,13.0,NYC Independent Budget Office,report,,How Have City Costs for Homeless Shelters Changed With Shifts in State and Federal Support?,2023-03-10,https://www.ibo.nyc.ny.us/iboreports/how-have-city-costs-changed-with-shifts-in-state-and-federal-support-for-homeless-shelters-march-2023.html,,html,13 news articles referencing the report by title,0.0,0,0,0,0,0,0,gdelt,gdelt-coverage:Homeless Shelters Changed Federal Support:429 Client Error: Too Many Requests for url: https://api.gdeltproject.org/api/v2/doc/doc?query=Homeless+Shelters+Changed+Federal+Support&mode=ArtList&format=json&maxrecords=75&timespan=30d&sort=DateDesc,13.0,13,0,0,0,0,0,gdelt,,13.0,13,0,0,0,0,0,gdelt,
7d,13.0,13.0,NYC Independent Budget Office,report,,Another Hole in the Budget Plan,,https://ibo.nyc.ny.us/cgi-park?p=57,,html,13 news articles referencing the report by title,0.0,0,0,0,0,0,0,gdelt,gdelt-coverage:Another Budget Hole Plan:429 Client Error: Too Many Requests for url: https://api.gdeltproject.org/api/v2/doc/doc?query=Another+Budget+Hole+Plan&mode=ArtList&format=json&maxrecords=75&timespan=30d&sort=DateDesc,13.0,13,0,0,0,0,0,gdelt,,13.0,13,0,0,0,0,0,gdelt,
7d,12.0,12.0,NYC Independent Budget Office,report,,The Independent Budget Office’s Estimates for City Expenditures for The January 2025 Financial Plan,2025-02-27,https://www.ibo.nyc.ny.us/iboreports/the-independent-budget-offices-estimates-for-city-expenditures-for-the-January-2025-financial-plan-february-2025.pdf,https://www.ibo.nyc.ny.us/iboreports/the-independent-budget-offices-estimates-for-city-expenditures-for-the-January-2025-financial-plan-february-2025.pdf,pdf,12 news articles referencing the report by title,12.0,12,0,0,0,0,0,gdelt,,12.0,12,0,0,0,0,0,gdelt,,12.0,12,0,0,0,0,0,gdelt,
7d,12.0,12.0,NYC Rules - Proposed,rule,HRA,Emergency Food Assistance Program,2022-08-12,https://rules.cityofnewyork.us/rule/emergency-food-assistance-program,,html,12 news articles referencing the report by title,12.0,12,0,0,0,0,0,gdelt,,12.0,12,0,0,0,0,0,gdelt,,12.0,12,0,0,0,0,0,gdelt,
7d,12.0,12.0,NYC Government Publications Portal,publication,,"The City Record, May 22, 2026",2026-05-22,https://a860-gpp.nyc.gov/concern/nyc_government_publications/x346d9786?locale=en,,html,12 news articles referencing the report by title,0.0,0,0,0,0,0,0,gdelt,gdelt-coverage:Record May 2026:429 Client Error: Too Many Requests for url: https://api.gdeltproject.org/api/v2/doc/doc?query=Record+May+2026&mode=ArtList&format=json&maxrecords=75&timespan=30d&sort=DateDesc,12.0,12,0,0,0,0,0,gdelt,,12.0,12,0,0,0,0,0,gdelt,
7d,12.0,12.0,NYC Government Publications Portal,publication,,"The City Record, May 21, 2026",2026-05-21,https://a860-gpp.nyc.gov/concern/nyc_government_publications/jm214v795?locale=en,,html,12 news articles referencing the report by title,12.0,12,0,0,0,0,0,gdelt,,12.0,12,0,0,0,0,0,gdelt,,12.0,12,0,0,0,0,0,gdelt,
7d,12.0,12.0,NYC Government Publications Portal,publication,,"The City Record, May 20, 2026",2026-05-20,https://a860-gpp.nyc.gov/concern/nyc_government_publications/s7526j657?locale=en,,html,12 news articles referencing the report by title,12.0,12,0,0,0,0,0,gdelt,,12.0,12,0,0,0,0,0,gdelt,,12.0,12,0,0,0,0,0,gdelt,
7d,12.0,12.0,NYC Independent Budget Office,report,,Summary of the New York City Financial Plan,,https://www.ibo.nyc.ny.us/iboreports/financialplansummary.pdf,https://www.ibo.nyc.ny.us/iboreports/financialplansummary.pdf,pdf,12 news articles referencing the report by title,12.0,12,0,0,0,0,0,gdelt,,12.0,12,0,0,0,0,0,gdelt,,12.0,12,0,0,0,0,0,gdelt,
7d,11.0,11.0,NYC Department of Investigation,report,,Fire Safety and Prevention in Public Housing,2023-03-30,https://www.nyc.gov/assets/doi/reports/pdf/2023/12NYCHAfiresafety.Rpt.Release03.30.2023.pdf,https://www.nyc.gov/assets/doi/reports/pdf/2023/12NYCHAfiresafety.Rpt.Release03.30.2023.pdf,pdf,11 news articles referencing the report by title,11.0,11,0,0,0,0,0,gdelt,,11.0,11,0,0,0,0,0,gdelt,,11.0,11,0,0,0,0,0,gdelt,
7d,11.0,11.0,NYS Comptroller,report,,New York City Government Services: Services for the Unsheltered,,https://www.osc.ny.gov/files/reports/osdc/pdf/report-21-2026.pdf,https://www.osc.ny.gov/files/reports/osdc/pdf/report-21-2026.pdf,pdf,11 news articles referencing the report by title,11.0,11,0,0,0,0,0,gdelt,,11.0,11,0,0,0,0,0,gdelt,,11.0,11,0,0,0,0,0,gdelt,
7d,11.0,11.0,NYC Independent Budget Office,report,,Testimony to the New York City Council on the Mayor's Executive Budget for Fiscal Year 2023,2022-05-24,https://ibo.nyc.ny.us/iboreports/executive-budget-testimony-may-2022.pdf,https://ibo.nyc.ny.us/iboreports/executive-budget-testimony-may-2022.pdf,pdf,11 news articles referencing the report by title,11.0,11,0,0,0,0,0,gdelt,,11.0,11,0,0,0,0,0,gdelt,,11.0,11,0,0,0,0,0,gdelt,
7d,11.0,11.0,NYC Rules - Proposed,rule,DCWP,Minimum Pay for Food Delivery Workers,2022-12-16,https://rules.cityofnewyork.us/rule/minimum-pay-for-food-delivery-workers,,html,11 news articles referencing the report by title,11.0,11,0,0,0,0,0,gdelt,,11.0,11,0,0,0,0,0,gdelt,,11.0,11,0,0,0,0,0,gdelt,
7d,11.0,11.0,NYC Independent Budget Office,report,,How Much Did He Say in Pension Savings?,,https://ibo.nyc.ny.us/cgi-park?p=39,,html,11 news articles referencing the report by title,11.0,11,0,0,0,0,0,gdelt,,11.0,11,0,0,0,0,0,gdelt,,11.0,11,0,0,0,0,0,gdelt,
7d,9.0,9.0,NYC Independent Budget Office,report,,"DOE Needs Additional City Funding to Continue Programs Funded with Covid Aid, For Carter Cases, & More",2023-03-15,https://www.ibo.nyc.ny.us/iboreports/doe-needs-additional-city-funding-to-continue-programs-funded-with-covid-aid-for-carter-cases-and-more-slide-march-2023.html,,html,9 news articles referencing the report by title,9.0,9,0,0,0,0,0,gdelt,,9.0,9,0,0,0,0,0,gdelt,,9.0,9,0,0,0,0,0,gdelt,
7d,9.0,9.0,NYC Rules - Adopted,rule,DCWP,Car Wash Records,2026-04-04,https://rules.cityofnewyork.us/rule/car-wash-records,,html,9 news articles referencing the report by title,0.0,0,0,0,0,0,0,gdelt,gdelt-coverage:Records Wash Car:429 Client Error: Too Many Requests for url: https://api.gdeltproject.org/api/v2/doc/doc?query=Records+Wash+Car&mode=ArtList&format=json&maxrecords=75&timespan=30d&sort=DateDesc,9.0,9,0,0,0,0,0,gdelt,,9.0,9,0,0,0,0,0,gdelt,
7d,8.0,8.0,NYC Independent Budget Office,report,,Analysis of the November 2024 Financial Plan Fiscal Years 2025-2028 By The Independent Budget Office,2024-12-18,https://www.ibo.nyc.ny.us/iboreports/analysis-of-the-november-2024-financial-plan-fiscal-years-2025-2028-december2024.html,,html,8 news articles referencing the report by title,8.0,8,0,0,0,0,0,gdelt,,8.0,8,0,0,0,0,0,gdelt,,8.0,8,0,0,0,0,0,gdelt,
7d,8.0,8.0,NYC Rules - Adopted,rule,DOHMH,Child Care and Child Supervision Programs,2025-11-20,https://rules.cityofnewyork.us/rule/amendment-of-rules-relating-to-child-care-and-child-supervision-programs,,html,8 news articles referencing the report by title,0.0,0,0,0,0,0,0,gdelt,"gdelt-coverage:Supervision Programs Child Care:HTTPSConnectionPool(host='api.gdeltproject.org', port=443): Read timed out. (read timeout=15)",8.0,8,0,0,0,0,0,gdelt,,8.0,8,0,0,0,0,0,gdelt,
7d,7.0,7.0,NYC Independent Budget Office,report,,Spending on New Arrivals,2025-01-08,https://www.ibo.nyc.ny.us/iboreports/spending-on-new-arrivals-january-2025.pdf,https://www.ibo.nyc.ny.us/iboreports/spending-on-new-arrivals-january-2025.pdf,pdf,7 news articles referencing the report by title,7.0,7,0,0,0,0,0,gdelt,,7.0,7,0,0,0,0,0,gdelt,,7.0,7,0,0,0,0,0,gdelt,
7d,7.0,7.0,NYC Independent Budget Office,report,,Highlights of Recent State Policy & Budget Impacts For New York City,2024-07-25,https://ibo.nyc.ny.us/iboreports/highlights-of-recent-state-policy-and-budget-impacts-for-new-york-city-july2024.pdf,https://ibo.nyc.ny.us/iboreports/highlights-of-recent-state-policy-and-budget-impacts-for-new-york-city-july2024.pdf,pdf,7 news articles referencing the report by title,0.0,0,0,0,0,0,0,gdelt,gdelt-coverage:Highlights Impacts Recent Policy Budget:429 Client Error: Too Many Requests for url: https://api.gdeltproject.org/api/v2/doc/doc?query=Highlights+Impacts+Recent+Policy+Budget&mode=ArtList&format=json&maxrecords=75&timespan=30d&sort=DateDesc,7.0,7,0,0,0,0,0,gdelt,,7.0,7,0,0,0,0,0,gdelt,
7d,7.0,7.0,NYC Independent Budget Office,report,,Testimony on the Mayor’s Preliminary Budget For 2024 and Financial Plan through 2027,2023-03-06,https://www.ibo.nyc.ny.us/iboreports/preliminary-budget-testimony-march-2023.pdf,https://www.ibo.nyc.ny.us/iboreports/preliminary-budget-testimony-march-2023.pdf,pdf,7 news articles referencing the report by title,7.0,7,0,0,0,0,0,gdelt,,7.0,7,0,0,0,0,0,gdelt,,7.0,7,0,0,0,0,0,gdelt,
7d,7.0,7.0,NYC Independent Budget Office,report,,Capital Spending by Community Board and Project Type,,https://www.ibo.nyc.ny.us/iboreports/CBcapital.pdf,https://www.ibo.nyc.ny.us/iboreports/CBcapital.pdf,pdf,7 news articles referencing the report by title,7.0,7,0,0,0,0,0,gdelt,,7.0,7,0,0,0,0,0,gdelt,,7.0,7,0,0,0,0,0,gdelt,
7d,6.0,6.0,NYC Independent Budget Office,report,,Focus on: The Mayor’s Fiscal Year 2024 November Plan,,https://www.ibo.nyc.ny.us/iboreports/publicationsAnnualsFiscalOutlook2023.html,,html,6 news articles referencing the report by title,6.0,6,0,0,0,0,0,gdelt,,6.0,6,0,0,0,0,0,gdelt,,6.0,6,0,0,0,0,0,gdelt,
7d,6.0,6.0,NYC Independent Budget Office,report,,Testimony on IBO’s Latest Economic Forecast & The Mayor’s November Financial Plan,2022-12-08,https://www.ibo.nyc.ny.us/iboreports/ibo-november-plan-testimony-december-2022.pdf,https://www.ibo.nyc.ny.us/iboreports/ibo-november-plan-testimony-december-2022.pdf,pdf,6 news articles referencing the report by title,6.0,6,0,0,0,0,0,gdelt,,6.0,6,0,0,0,0,0,gdelt,,6.0,6,0,0,0,0,0,gdelt,
7d,6.0,6.0,NYC Rules - Proposed,rule,DOT,Proposed Amendments to Highway Rules,2026-03-09,https://rules.cityofnewyork.us/rule/proposed-amendments-to-highway-rules,,html,6 news articles referencing the report by title,6.0,6,0,0,0,0,0,gdelt,,6.0,6,0,0,0,0,0,gdelt,,6.0,6,0,0,0,0,0,gdelt,
7d,6.0,6.0,NYC Rules - Proposed,rule,DOF,Business Corporation Tax Implementation Rules,2025-11-20,https://rules.cityofnewyork.us/rule/business-corporation-tax-implementation-rules,,html,6 news articles referencing the report by title,6.0,6,0,0,0,0,0,gdelt,,6.0,6,0,0,0,0,0,gdelt,,6.0,6,0,0,0,0,0,gdelt,
7d,6.0,6.0,NYC Rules - Proposed,rule,CECM-SAPO,Rules for Open Street Events,2024-04-22,https://rules.cityofnewyork.us/rule/rules-for-open-street-events,,html,6 news articles referencing the report by title,6.0,6,0,0,0,0,0,gdelt,,6.0,6,0,0,0,0,0,gdelt,,6.0,6,0,0,0,0,0,gdelt,
7d,6.0,6.0,NYC Independent Budget Office,report,,A Closer Look at the New Housing Opportunities Program,,https://www.ibo.nyc.ny.us/iboreports/NewHOPbp.pdf,https://www.ibo.nyc.ny.us/iboreports/NewHOPbp.pdf,pdf,6 news articles referencing the report by title,6.0,6,0,0,0,0,0,gdelt,,6.0,6,0,0,0,0,0,gdelt,,6.0,6,0,0,0,0,0,gdelt,
7d,6.0,6.0,NYC Independent Budget Office,report,,School Tax Relief and Education Aid Proposals: Impacts on New York City,,https://www.ibo.nyc.ny.us/iboreports/pubstar.html,,html,6 news articles referencing the report by title,6.0,6,0,0,0,0,0,gdelt,,6.0,6,0,0,0,0,0,gdelt,,6.0,6,0,0,0,0,0,gdelt,
7d,6.0,6.0,NYC Independent Budget Office,report,,Considering Tax Cuts: Current Proposals by the Mayor and the City Council,,https://www.ibo.nyc.ny.us/iboreports/taxprograms.pdf,https://www.ibo.nyc.ny.us/iboreports/taxprograms.pdf,pdf,6 news articles referencing the report by title,0.0,0,0,0,0,0,0,gdelt,gdelt-coverage:Considering Proposals Council Mayor Cuts:429 Client Error: Too Many Requests for url: https://api.gdeltproject.org/api/v2/doc/doc?query=Considering+Proposals+Council+Mayor+Cuts&mode=ArtList&format=json&maxrecords=75&timespan=30d&sort=DateDesc,6.0,6,0,0,0,0,0,gdelt,,6.0,6,0,0,0,0,0,gdelt,
7d,5.0,5.0,NYS Comptroller,report,,Challenges Facing Small Businesses in New York,,https://www.osc.ny.gov/files/reports/pdf/challenges-facing-small-businesses-in-ny.pdf,https://www.osc.ny.gov/files/reports/pdf/challenges-facing-small-businesses-in-ny.pdf,pdf,5 news articles referencing the report by title,0.0,0,0,0,0,0,0,gdelt,gdelt-coverage:Challenges Businesses Facing Small:429 Client Error: Too Many Requests for url: https://api.gdeltproject.org/api/v2/doc/doc?query=Challenges+Businesses+Facing+Small&mode=ArtList&format=json&maxrecords=75&timespan=30d&sort=DateDesc,5.0,5,0,0,0,0,0,gdelt,,5.0,5,0,0,0,0,0,gdelt,
7d,5.0,5.0,NYC Independent Budget Office,report,,Changes to New York City Employee Staffing Levels,2025-02-25,https://www.ibo.nyc.ny.us/iboreports/changes-to-new-york-city-employee-staffing-levels-february-2025.html,,html,5 news articles referencing the report by title,5.0,5,0,0,0,0,0,gdelt,,5.0,5,0,0,0,0,0,gdelt,,5.0,5,0,0,0,0,0,gdelt,
7d,5.0,5.0,NYC Rules - Proposed,rule,DCWP,Implementation of Licensing Laws,2026-05-04,https://rules.cityofnewyork.us/rule/implementation-of-licensing-laws,,html,5 news articles referencing the report by title,5.0,5,0,0,0,0,0,gdelt,,5.0,5,0,0,0,0,0,gdelt,,5.0,5,0,0,0,0,0,gdelt,
7d,5.0,5.0,NYC Rules - Adopted,rule,TLC,Driver Minimum Pay Rule Amendment,2025-09-22,https://rules.cityofnewyork.us/rule/driver-minimum-pay-rule-amendment,,html,5 news articles referencing the report by title,0.0,0,0,0,0,0,0,gdelt,gdelt-coverage:Minimum Driver Pay:429 Client Error: Too Many Requests for url: https://api.gdeltproject.org/api/v2/doc/doc?query=Minimum+Driver+Pay&mode=ArtList&format=json&maxrecords=75&timespan=30d&sort=DateDesc,5.0,5,0,0,0,0,0,gdelt,,5.0,5,0,0,0,0,0,gdelt,
7d,5.0,5.0,NYC Independent Budget Office,report,,Quiet on the Set?,,https://ibo.nyc.ny.us/cgi-park?p=90,,html,5 news articles referencing the report by title,5.0,5,0,0,0,0,0,gdelt,,5.0,5,0,0,0,0,0,gdelt,,5.0,5,0,0,0,0,0,gdelt,
7d,5.0,5.0,NYC Independent Budget Office,report,,Results of Review of IBO and Administration Analyses of the Fiscal Impact of Intro 101A (The Lead Paint Bill),,https://www.ibo.nyc.ny.us/iboreports/Intro101AReview.pdf,https://www.ibo.nyc.ny.us/iboreports/Intro101AReview.pdf,pdf,5 news articles referencing the report by title,5.0,5,0,0,0,0,0,gdelt,,5.0,5,0,0,0,0,0,gdelt,,5.0,5,0,0,0,0,0,gdelt,
7d,4.0,4.0,NYS Comptroller,report,,"Local Sales Tax Collections Total $6.1 Billion, Up 5.1% in First Quarter",,https://www.osc.ny.gov/files/local-government/publications/pdf/2026-sales-tax-first-quarter.pdf,https://www.osc.ny.gov/files/local-government/publications/pdf/2026-sales-tax-first-quarter.pdf,pdf,4 news articles referencing the report by title,4.0,4,0,0,0,0,0,gdelt,,4.0,4,0,0,0,0,0,gdelt,,4.0,4,0,0,0,0,0,gdelt,
7d,4.0,4.0,NYC Independent Budget Office,report,,Analysis of the 2026 Preliminary Budget and Financial Plan by the Independent Budget Office,2025-02-27,https://www.ibo.nyc.ny.us/iboreports/analysis-of-the-january-2025-preliminary-budget-and-2025-2029-financial-plan-february-2025.pdf,https://www.ibo.nyc.ny.us/iboreports/analysis-of-the-january-2025-preliminary-budget-and-2025-2029-financial-plan-february-2025.pdf,pdf,4 news articles referencing the report by title,4.0,4,0,0,0,0,0,gdelt,,4.0,4,0,0,0,0,0,gdelt,,4.0,4,0,0,0,0,0,gdelt,
7d,4.0,4.0,NYC Independent Budget Office,report,,Local Projections Amidst National Uncertainty Details on IBO’s Economic and Revenue Forecasts,2024-12-18,https://www.ibo.nyc.ny.us/iboreports/local-projections-amidst-national-uncertainty-details-on-ibos-economic-and-revenue-forecasts-december-2024.pdf,https://www.ibo.nyc.ny.us/iboreports/local-projections-amidst-national-uncertainty-details-on-ibos-economic-and-revenue-forecasts-december-2024.pdf,pdf,4 news articles referencing the report by title,0.0,0,0,0,0,0,0,gdelt,gdelt-coverage:Projections Uncertainty Forecasts National Econo:429 Client Error: Too Many Requests for url: https://api.gdeltproject.org/api/v2/doc/doc?query=Projections+Uncertainty+Forecasts+National+Economic&mode=ArtList&format=json&maxrecords=75&timespan=30d&sort=DateDesc,4.0,4,0,0,0,0,0,gdelt,,4.0,4,0,0,0,0,0,gdelt,
7d,4.0,4.0,NYC Independent Budget Office,report,,Alternative Allocations for The City Budget,2025-01-31,https://www.ibo.nyc.ny.us/iboreports/alternative-allocations-for-city-budget-january-2025.pdf,https://www.ibo.nyc.ny.us/iboreports/alternative-allocations-for-city-budget-january-2025.pdf,pdf,4 news articles referencing the report by title,0.0,0,0,0,0,0,0,gdelt,gdelt-coverage:Alternative Allocations Budget:429 Client Error: Too Many Requests for url: https://api.gdeltproject.org/api/v2/doc/doc?query=Alternative+Allocations+Budget&mode=ArtList&format=json&maxrecords=75&timespan=30d&sort=DateDesc,4.0,4,0,0,0,0,0,gdelt,,4.0,4,0,0,0,0,0,gdelt,
7d,4.0,4.0,NYC Independent Budget Office,report,,Analysis of the 2025 Preliminary Budget and Financial Plan by the Independent Budget Office,,https://www.ibo.nyc.ny.us/iboreports/publicationsAnnualsprelimbudget2024.html,,html,4 news articles referencing the report by title,4.0,4,0,0,0,0,0,gdelt,,4.0,4,0,0,0,0,0,gdelt,,4.0,4,0,0,0,0,0,gdelt,
7d,4.0,4.0,NYC Independent Budget Office,report,,Webinar: Key Findings From Our Latest Economic Forecast & Review of the November Financial Plan,2022-01-25,https://ibo.nyc.ny.us/iboreports/key-findings-from-our-latest-economic-forecast-and-review%20-of-the-november-finacial-plan-webinar-slides-january-2022.html,,html,4 news articles referencing the report by title,4.0,4,0,0,0,0,0,gdelt,,4.0,4,0,0,0,0,0,gdelt,,4.0,4,0,0,0,0,0,gdelt,
7d,4.0,4.0,NYC Rules - Proposed,rule,DOHMH,Further Amendment of Rules Relating to Vital Records,2026-07-02,https://rules.cityofnewyork.us/rule/further-amendment-of-rules-relating-to-vital-records,,html,4 news articles referencing the report by title,4.0,4,0,0,0,0,0,gdelt,,4.0,4,0,0,0,0,0,gdelt,,4.0,4,0,0,0,0,0,gdelt,
7d,4.0,4.0,NYC Rules - Proposed,rule,COMPT,Wage Requirements for Construction Employees,2026-01-28,https://rules.cityofnewyork.us/rule/wage-requirements-for-construction-employees,,html,4 news articles referencing the report by title,0.0,0,0,0,0,0,0,gdelt,gdelt-coverage:Requirements Construction Employees Wage:429 Client Error: Too Many Requests for url: https://api.gdeltproject.org/api/v2/doc/doc?query=Requirements+Construction+Employees+Wage&mode=ArtList&format=json&maxrecords=75&timespan=30d&sort=DateDesc,4.0,4,0,0,0,0,0,gdelt,,4.0,4,0,0,0,0,0,gdelt,
7d,4.0,4.0,NYC Rules - Adopted,rule,DCWP,Contracted Delivery Workers,2026-01-26,https://rules.cityofnewyork.us/rule/rules-relating-to-contracted-delivery-workers,,html,4 news articles referencing the report by title,4.0,4,0,0,0,0,0,gdelt,,4.0,4,0,0,0,0,0,gdelt,,4.0,4,0,0,0,0,0,gdelt,
7d,4.0,4.0,NYC Rules - Adopted,rule,DCWP,Restaurant Surcharges,2026-04-19,https://rules.cityofnewyork.us/rule/restaurant-surcharges,,html,4 news articles referencing the report by title,0.0,0,0,0,0,0,0,gdelt,gdelt-coverage:Restaurant Surcharges:429 Client Error: Too Many Requests for url: https://api.gdeltproject.org/api/v2/doc/doc?query=Restaurant+Surcharges&mode=ArtList&format=json&maxrecords=75&timespan=30d&sort=DateDesc,4.0,4,0,0,0,0,0,gdelt,,4.0,4,0,0,0,0,0,gdelt,
7d,4.0,4.0,NYC Independent Budget Office,report,,"Since 2000, Funding Changes Cause Annual Uncertainty for Summer Jobs Program",,https://www.ibo.nyc.ny.us/iboreports/SYEP_jun2006.pdf,https://www.ibo.nyc.ny.us/iboreports/SYEP_jun2006.pdf,pdf,4 news articles referencing the report by title,4.0,4,0,0,0,0,0,gdelt,,4.0,4,0,0,0,0,0,gdelt,,4.0,4,0,0,0,0,0,gdelt,
7d,4.0,4.0,NYC Independent Budget Office,report,,Outlook for the City’s Economy: A Slow and Fragile Recovery,,https://ibo.nyc.ny.us/iboreports/outlook-for-the-citys-cconomy-a-slow-and-fragile-recovery-march-2021.pdf,https://ibo.nyc.ny.us/iboreports/outlook-for-the-citys-cconomy-a-slow-and-fragile-recovery-march-2021.pdf,pdf,4 news articles referencing the report by title,4.0,4,0,0,0,0,0,gdelt,,4.0,4,0,0,0,0,0,gdelt,,4.0,4,0,0,0,0,0,gdelt,
